484 208 372 222 567 195 309 252 655 184 242 256 456 398 391 399 475 524 394 527 490 648 403 646 
484 208 372 223 566 196 310 253 655 184 243 257 456 398 391 399 475 524 394 527 489 649 403 646 
482 208 371 223 565 195 310 253 655 182 243 257 456 398 391 399 475 524 394 527 489 649 403 646 
482 208 372 223 565 195 310 254 654 182 244 257 456 398 391 399 475 525 394 527 489 649 403 646 
481 206 372 223 565 195 310 254 654 184 242 259 456 398 392 399 475 525 394 527 489 649 403 646 
481 206 373 223 565 197 313 255 656 186 242 262 456 398 392 399 475 526 394 527 489 649 403 646 
480 206 375 223 563 215 313 261 654 213 242 275 456 399 394 399 475 526 393 527 489 649 403 646 
480 208 375 224 557 237 314 272 639 250 242 297 458 401 397 402 475 527 393 528 489 649 403 646 
477 216 373 233 544 271 323 295 593 329 257 341 462 407 403 410 474 532 389 530 489 650 402 646 
473 232 370 250 531 297 331 323 562 372 278 380 469 413 408 416 474 538 384 533 489 652 402 647 
469 259 368 268 527 330 339 344 528 420 301 415 476 420 411 425 472 538 379 533 489 652 401 647 
465 277 367 288 519 356 346 368 501 448 321 442 477 430 416 435 470 537 371 533 489 651 400 648 
465 300 366 305 519 382 353 384 485 466 346 458 478 443 419 446 463 539 370 533 487 651 400 648 
465 318 366 323 521 396 359 402 483 475 363 475 478 453 422 456 461 544 371 534 486 651 400 647 
469 333 368 339 522 408 360 412 484 484 367 479 483 465 425 467 459 545 371 536 485 651 400 647 
473 349 371 350 533 419 360 419 485 489 368 486 483 476 426 477 457 546 371 537 485 651 399 647 
477 357 376 361 540 427 360 428 488 493 368 489 485 484 429 483 454 545 371 538 483 650 398 646 
483 363 382 368 545 433 362 433 491 495 370 488 489 492 432 489 454 545 371 537 483 651 398 646 
489 364 389 372 549 435 366 434 494 496 374 486 493 499 436 494 455 545 372 536 483 651 399 646 
495 364 396 374 552 439 374 437 496 495 378 487 498 502 442 496 459 542 374 535 483 652 399 646 
502 365 403 372 553 442 382 435 497 493 383 487 500 505 444 498 461 537 377 533 484 651 399 645 
508 363 410 368 554 440 388 434 498 491 389 487 502 502 445 497 467 533 381 529 484 651 399 645 
